"Name ____________________________","Dealflow Status","Country Code","Founding Year",Employees,"Business Model","Website URL","LinkedIn URL","Crunchbase URL","Twitter URL","(Catalist_URL: ""https://ventureiq.io/entity/ID_below"") ID","Collections ______________________________________________","VIQ Tags ___________________________________________________________","Client Tags ___________________________________________________________","Keywords __________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________"
"AXIOM FOODS INC."," - ",US,"2,005",11," - ","http://axiomfoods.com","https://www.linkedin.com/company/axiom-foods"," - ","https://twitter.com/axiomfoods?lang=en","432,498","Example collection: Alternative protein","[""pea protein"",""plant protein"",""plant-based protein"",""rice protein"",""vegan protein""]"," - "," - "
Algama," - ",FR,"2,013",11,b2c,"http://algamafoods.com/","https://www.linkedin.com/company/algama","https://www.crunchbase.com/organization/algama","https://twitter.com/algamafoods?lang=en","29,692,419","Example collection: Alternative protein","[""algae protein"",""beverage product"",""biotechnology"",""consumer goods"",""food and beverage"",""food processing"",""functional foods"",""life science"",""microalgae"",""organic food"",""vegan protein""]"," - ","[""algama"",""alternative food good"",""conjunction food professional"",""core activity creation innovative"",""discovery new dish human"",""early stage product design"",""environmental impact production process"",""food"",""food industry innovation"",""huge potential thank unique"",""human happiness discovery star"",""industry innovation crucial health"",""innovation"",""innovation pleasure meet"",""innovative"",""low environmental impact production"",""microalgae"",""new"",""new dish human happiness"",""partnership early stage product"",""potential"",""product"",""protein"",""protein content low environmental"",""r&d marketing team culinary"",""rich diet new way"",""stage product design creation"",""tasty food product high"",""unique"",""unique protein content low""]"
"BALLETIC FOODS"," - ",US,"2,017",1,b2c,"www.balleticfoods.com","http://-","https://www.crunchbase.com/organization/balletic-foods","https://twitter.com/balleticfoods","30,523,782","Example collection: Alternative protein","[""ag tech"",""cell based meat"",""cell based protein"",""cellular agriculture"",""clean meat"",""cultured meat"",""sustainable protein""]"," - "," - "
BEETER," - ",NL,,," - ","beeter.nl"," - "," - "," - ","30,522,817","Example collection: Alternative protein","[""plant protein"",""vegan protein""]"," - "," - "
BERTYN," - ",BE,"2,014",1," - ","www.bertyn.eu","https://www.linkedin.com/company/bertyn/"," - "," - ","30,520,001","Example collection: Alternative protein","[""meat alternative"",""plant protein"",""plant-based meat"",""vegan protein""]"," - ","[""auteur chantal voets creerden"",""authentieke"",""bertyn"",""bertyn maker authentieke seitan"",""bertyn seitan"",""chantal"",""chantal maakte hierbij handige"",""creerden heerlijke recepten nieuwe"",""d veggie protein seitan"",""een authentieke seitan dus"",""eiwitrijk"",""gehakt chef serge restiau"",""gemaakt"",""jij documentaire cowspiracy gezien"",""koolhydraatarm"",""kwam bertyn ontdekken onze"",""officile bertyn webshop amanvida.eu"",""product waar wij volledig"",""producten milieuvriendelijk mogelijk vervaardigd"",""recepten nieuwe seitan veggie"",""seitan"",""seitan veggie gehakt een"",""spelt gula java chili"",""thermobox"",""vegetarisch"",""veggie"",""veggie gehakt een eiwitrijk"",""veggie protein seitan"",""vit d veggie protein"",""vleesvervanger"",""waar wij volledig achter"",""wij""]"
BIFTEK," - ",TR,"2,018",1,b2b2c,"biftek.co","https://www.linkedin.com/company/biftekco/about/"," - ","https://twitter.com/biftekco","30,523,787","Example collection: Alternative protein","[""ag tech"",""beef"",""cell based meat"",""cell based protein"",""cellular agriculture"",""clean meat"",""cultured meat"",""in vitro meat"",""sustainable protein""]"," - "," - "
"BIOFOOD SYSTEMS"," - ",IL,"2,018",1," - ","http://biofood-systems.com"," - "," - "," - ","30,523,276","Example collection: Alternative protein","[""ag tech"",""beef"",""cell based meat"",""cell based protein"",""cellular agriculture"",""clean meat"",""cultured meat"",""in vitro meat"",""sustainable protein""]"," - "," - "
BIOLAB," - ",IT,"1,991",51," - ","www.biolab-eu.com","https://www.linkedin.com/company/biolab-vegetarian-vegan-organic-food","https://www.crunchbase.com/organization/eurofins-biolab-srl"," - ","30,523,969","Example collection: Alternative protein","[""plant protein"",""vegan protein""]"," - "," - "
BLUENALU," - ",US,"2,017",1,b2b2c,"https://www.bluenalu.com","https://www.linkedin.com/company/bluenalu/"," - ","https://twitter.com/BlueNaluInc","30,519,782","Example collection: Alternative protein","[""ag tech"",""biomaterials"",""biotechnology"",""cell based meat"",""cell based protein"",""cellular agriculture"",""clean meat"",""cultured meat"",""fish"",""in vitro meat"",""seafood"",""sustainable protein"",""tissue engineering""]"," - ","[""address"",""aquaculture"",""cellular"",""consumer"",""consumer great tasting"",""diversity"",""email"",""email address"",""global"",""global leader cellular aquaculture"",""leader"",""mission"",""mission global leader cellular"",""news"",""news update"",""ocean"",""seafood"",""seafood product"",""sustainability diversity ocean"",""update""]"
"BOON BONEN"," - ",NL,"2,016",1," - ","www.boonbonen.nl","https://www.linkedin.com/company/boon-foodconcepts-b-v"," - "," - ","30,523,044","Example collection: Alternative protein","[""plant protein"",""vegan protein""]"," - "," - "
"BOTANIC BITES"," - ",NL,"2,016",1," - ","http://www.botanicbites.com","https://nl.linkedin.com/in/doreen-westphal-67751413"," - ","https://twitter.com/botanicsbites?lang=en","30,484,167","Example collection: Alternative protein","[""algae protein"",""mushroom protein"",""plant protein"",""production technology"",""vegan protein""]"," - ","[""-pron-"",""burger"",""burger alternatives"",""culinary innovation passion"",""delicious"",""eiwitten"",""first seaweed farm netherlands"",""flavourful tomato burger"",""germany world war"",""great"",""great bbq season"",""hamburger"",""heavenly seaweed burger"",""innovation passion food"",""loaf"",""loaf special dinner occasion"",""long german tradition sausage"",""meat substitutes"",""mushroom"",""mushroom long german tradition"",""oesterzwammen"",""oyster mushroom seaweed"",""passion culinary innovation"",""plantaardig"",""product"",""proteins"",""sausage"",""sausage comparable footprint"",""seaweed"",""seaweed tomato"",""shroombite delicious umami kick"",""someone idea something"",""style tomato loaf special"",""tasty mushroom long"",""tomato"",""tomato loaf special dinner"",""top seaweed burger"",""vegan"",""vleesvervanger"",""worst""]"
"BUMI ORGANICS"," - ",NL,"2,016",1," - ","www.bumiorganics.com","https://www.linkedin.com/company/bumi-organics"," - "," - ","30,523,040","Example collection: Alternative protein","[""plant protein"",""vegan protein""]"," - "," - "
"Beyond Meat"," - ",US,"2,009",51," - ","http://beyondmeat.com/","https://www.linkedin.com/company/beyond-meat","https://www.crunchbase.com/organization/beyond-meat","https://twitter.com/beyondmeat","29,696,163","Example collection: Alternative protein","[""agro innovation"",""cleantech 100"",""consumers"",""food and beverage"",""food and nutrition"",""food processing"",""health and wellness"",""health care"",""healthcare"",""meat alternative"",""nutritional product"",""plant protein"",""plant-based meat"",""plant-based protein"",""protein"",""specialty foods"",""vegan protein""]"," - ","[""agriculture water use global"",""aisle date june 20th"",""animal"",""animal welfare benefit plant"",""ascension tristan cunha saint"",""bad boy grill"",""beef aisle date june"",""beyond"",""beyond burger"",""beyond meat"",""british indian ocean territory"",""burger"",""chef'd beyond meat meal"",""company"",""core part plant kingdom"",""coupon"",""date"",""date october 17th"",""disruption traditional meat industry"",""exact replica poultry patty"",""exciting change plate"",""exclusive coupon"",""fast food restaurant near"",""federated states saint helena"",""few greenhouse gas emissions"",""former yugoslav republic micronesia"",""global"",""global assessment water"",""great"",""great health"",""heard island mcdonald islands"",""heart disease risk"",""international livestock research institute"",""islands"",""islands svalbard jan mayen"",""less"",""less energy beef burger"",""less land"",""less water"",""life cycle analysis"",""livestock"",""meat"",""meat date october"",""meaty"",""newbie vegan verge"",""news"",""planet saving venture date"",""plant"",""problem attributable livestock"",""republic"",""republic heard island mcdonald"",""republic turks caicos islands"",""saba british indian ocean"",""saint"",""saint vincent grenadines sao"",""sandwich islands svalbard jan"",""sao tome principe sint"",""sausage"",""sausage actual sausage"",""saving venture date october"",""search best veggie burger"",""section"",""simple question"",""sint eustatius saba british"",""south sandwich islands svalbard"",""store"",""tome principe sint maarten"",""traditional dish love"",""tuesdays weekly ritual house"",""u.s. beef burger"",""united republic turks caicos"",""university"",""use global surface area"",""vegan burgers hit mainstream"",""vincent grenadines sao tome"",""web browser"",""welfare benefit plant"",""welfare benefit plant protein""]"
"BÄRTA"," - ",SE,"2,018",1," - ","swedishtemptations.com"," - "," - "," - ","30,523,099","Example collection: Alternative protein","[""plant protein"",""vegan protein""]"," - "," - "
"CELLTAINER BIOTECH"," - ",NL,"2,015",1,b2b,"http://celltainer.com","https://www.linkedin.com/company/celltainer.com"," - "," - ","30,481,116","Example collection: Alternative protein","[""bioprocessing"",""bioreactor"",""cell culture"",""cultured meat"",""microbial fermentation"",""production technology""]"," - "," - "
CHICKP," - ",IL,"2,016",1," - ","http://chickpea-protein.com/","https://www.linkedin.com/company/chickp","https://www.crunchbase.com/organization/chickp"," - ","30,509,361","Example collection: Alternative protein","[""agtech"",""alternative-protein"",""biotechnology"",""food-ingredients"",""foodtech"",""infant-nutrition"",""nutrition"",""plant protein"",""production-and-processing-systems"",""supplements"",""sustainable-protein"",""vegan protein""]"," - "," - "
"CLARA FOODS"," - ",US,"2,014",11," - ","http://www.clarafoods.com/","https://www.linkedin.com/company/clara-foods","https://www.crunchbase.com/organization/clara-foods","https://twitter.com/clarafoods?lang=en","22,706,221","Example collection: Alternative protein","[""alternative protein"",""consumer goods"",""food"",""food and nutrition"",""foodstuffs"",""health and wellness"",""nutrition"",""production technology"",""protein"",""sustainability"",""vegan protein"",""yeast protein""]"," - ","[""-pron-"",""advancedyeast engineering fermentation technology"",""ancient art today"",""baking"",""current production practice"",""egg"",""egg white replacer"",""equal good result"",""flat cheese"",""food"",""good"",""good performance less waste"",""good quality"",""great taste food"",""ingredient"",""land energy"",""less"",""less water"",""natural ingredient free pesticide"",""performance"",""preservative"",""preservative baking product"",""process"",""protein"",""protein fit need"",""protein platform"",""pure ingredient"",""reliable sustainable"",""replacer"",""theperfect strain yeast"",""whetheregg albumen baking"",""white"",""whole lot green clean"",""yeast""]"
CLEXTRAL," - ",FR,"1,956",201,b2b,"http://www.clextral.com/","https://www.linkedin.com/company/clextral"," - ","https://twitter.com/clextraltweets","391,422","Example collection: Alternative protein","[""food drying"",""food processing"",""plant protein"",""production technology"",""spray dry alternative"",""spray dry equipment"",""vegan protein""]"," - ","[""allpackis international exhibition featurestechnology"",""bread porous powder production"",""bread snack production line"",""breakfast cereal production line"",""cereal production line multigrain"",""clextral"",""clextral feed extrusion course"",""crispy flat bread"",""customer"",""day technology line food"",""dubai world trade center"",""ept"",""ept writing printing paper"",""expertise"",""extrusion"",""feed"",""fish feed extrusion"",""fish feed extrusion system"",""flat bread porous powder"",""food"",""food extrusion breakfast"",""france first seminar hope"",""green industries powder industries"",""industry technical assistance"",""kemayoran allpackis international exhibition"",""layer cardboard special technical"",""line"",""line multigrain chip production"",""lines fish feed extrusion"",""lines snack pellet production"",""manufacturing november 6th 8th"",""nextfie exhibitionat messe frankfurt"",""november"",""porous powder production ept"",""pourrez dcouvrir nos dernire"",""powder industry technical assistance"",""printing paper flat multi"",""production"",""production line flat"",""production line pet food"",""production lines fish feed"",""screw extrusion technical expertise"",""system"",""technical compound plastics"",""technology"",""ton high quality product"",""treats production lines fish"",""twin"",""twin screw extrusion"",""writing printing paper flat""]"
"CUBIQ FOODS"," - ",ES,"2,018",1,b2b2c,"http://cubiqfoods.com","https://www.linkedin.com/company/cubiq-foods","https://www.crunchbase.com/organization/cubiq-foods"," - ","30,523,707","Example collection: Alternative protein","[""ag tech"",""biotechnology"",""cell based meat"",""cell based protein"",""cultured meat"",""in vitro meat"",""sustainable protein"",""tissue engineering""]"," - "," - "
DAIYA," - ",CA,"2,008",51,b2c,"http://daiyafoods.com/","https://www.linkedin.com/company/831571","https://www.crunchbase.com/organization/daiya-foods","https://twitter.com/daiyafoods","29,686,762","Example collection: Alternative protein","[""alternative dairy"",""plant protein"",""plant-based dairy"",""vegan protein""]"," - ","[""based"",""berry compote strawberry cream"",""breakfast smoothie tasty quinoa"",""canadian"",""cheddar"",""cheddar style four cheeze"",""cheezecake berry compote strawberry"",""cheezy"",""cherry breakfast smoothie tasty"",""compote strawberry cream cheese"",""cream cheese frosting dairy"",""dairy"",""daiya"",""daiya cheezecake berry compote"",""daiya lifestyle what shall"",""dark cherry breakfast smoothie"",""deluxe white cheddar"",""edition daiya box love"",""food"",""four cheeze style herbs"",""free"",""free spring time salad"",""goodness"",""inc."",""lifestyle"",""pasta join daiya team"",""plant"",""quinoa burger sliders zucchini"",""roasted garlic deluxe white"",""salad dark cherry breakfast"",""smoothie tasty quinoa burger"",""something"",""spring time salad dark"",""strawberry cream cheese frosting"",""style"",""style herbs comfort food"",""tasty quinoa burger sliders"",""time salad dark cherry"",""tip kind cheezy goodness"",""veggie"",""white cheddar style veggie""]"
"DE VEGETARISCHE SLAGER"," - ",NL,"2,010",51,b2b2c,"www.devegetarischeslager.nl","https://www.linkedin.com/company/vegetarische-slager/about/","https://www.crunchbase.com/organization/the-vegetarian-butcher","https://twitter.com/VegaSlager","30,489,327","Example collection: Alternative protein","[""plant protein"",""vegan protein""]"," - "," - "
"DON LEE FARMS"," - ",US,"1,982",11," - ","www.donleefarms.com","https://www.linkedin.com/company/don-lee-farms","https://www.crunchbase.com/organization/bolthouse-farms","https://twitter.com/donleefarms/status/981911421649797120","30,529,162","Example collection: Alternative protein","[""plant protein"",""production technology"",""vegan protein""]"," - "," - "
DUPLACO," - ",NL,"2,012",11,b2b,"http://duplaco.com/","https://www.linkedin.com/company/duplaco"," - ","https://twitter.com/duplaco?lang=en","22,706,568","Example collection: Alternative protein","[""algae"",""algae protein"",""alternative protein"",""aquaculture"",""food"",""health"",""ingredients"",""microalgae"",""nutrition"",""startlife"",""sustainable protein"",""vegan protein""]"," - ","[""algen"",""chlorella"",""chlorella functioneel ingredint supplement"",""content duplaco zet"",""daarnaast wij onze duplaco"",""de"",""de chlorella microalg duplaco"",""de microalg gaat koeltank"",""duplaco"",""duplaco alg ons productieproce"",""duplaco produceert microalgen eigen"",""functioneel ingredint supplement de"",""gezonde"",""gezonde oplossingen ontwikkelen"",""ideaal product veganistisch menu"",""leent perfect smaakvolle toepassing"",""men dier"",""microalg"",""microalgen"",""microalgen functioneel ingredint voedingssupplement"",""microalgen wereld duplaco nederlandse"",""neem contact maatwerk partners"",""onze"",""onze algen mild smaak"",""onze chlorella algen"",""onze microalgen mild smaak"",""perfect smaakvolle toepassing voedingsmiddelen"",""producent heterotroof gekweekte chlorella"",""produceren"",""product veganistisch menu onze"",""producten"",""sproeidroger zetten verse alg"",""supplement de chlorella microalg"",""toegevoegde waarde duplaco microbiologisch"",""vraag hieronder fact sheet"",""wereld duplaco nederlandse producent"",""wij"",""wij microalgen poeder- tabletvorm"",""zetten verse alg poedervorm""]"
"DUTCH WEED BURGER"," - ",NL,"2,013",1," - ","https://dutchweedburger.com/en/","https://www.linkedin.com/company/the-dutch-weed-burger-b.v."," - ","https://twitter.com/dutchweedburger?lang=en","30,523,050","Example collection: Alternative protein","[""plant protein"",""vegan protein""]"," - "," - "
"EQUINOM LTD"," - ",IL,"2,012",11,b2b,"http://www.equi-nom.com","https://www.linkedin.com/company/equinom","https://www.crunchbase.com/organization/equinom"," - ","30,480,992","Example collection: Alternative protein","[""agro innovation"",""agtech"",""bioinformatics"",""biotechnology"",""breeding"",""clean energy"",""enhanced nutrition"",""food and nutrition"",""food-security"",""foodtech"",""genetics"",""health and wellness"",""modified crops high yield"",""non-gmo"",""plant protein"",""precision breeding"",""protein"",""seed treatment"",""seeds"",""smart agriculture"",""soy bean seeds"",""sustainable agriculture"",""sustainable-protein"",""vegan protein""]"," - "," - "
"FIELD ROAST GRAIN MEAT CO."," - ",US,"1,997",201," - ","fieldroast.com","https://www.linkedin.com/company/fieldroast","https://www.crunchbase.com/organization/field-roast","https://twitter.com/fieldroast","30,529,179","Example collection: Alternative protein","[""plant protein"",""vegan protein""]"," - "," - "
"FINLESS FOODS"," - ",US,"2,017",1,b2c,"https://www.finlessfoods.com","https://www.linkedin.com/company/finlessfoods","https://www.crunchbase.com/organization/finless-foods","https://twitter.com/finlessfoods?lang=en","30,476,153","Example collection: Alternative protein","[""alternative protein"",""biotechnology"",""cell-based fish"",""consumer goods"",""cultured meat"",""fish protein"",""food and beverage"",""food and nutrition"",""food processing"",""hatch cohort 2018"",""health and wellness"",""meat alternative"",""nasf 2018"",""production technology"",""protein"",""stem cells""]"," - ","[""animal cell"",""animal food product human"",""appetizing alternative"",""biotechnology"",""biotechnology company whose mission"",""cellular biology"",""commercial fishing precious ocean"",""company"",""delicious seafood world"",""early"",""finless foods company mission"",""finless foods early"",""fish"",""fish farming"",""fish precious ocean"",""fish seafood product world"",""food product human consumption"",""food set debate lab"",""foods"",""friendly version fish seafood"",""healthy"",""healthy marine"",""hollis st. suite b"",""interest news outlet reader"",""lab"",""manufacture"",""marine"",""marine animal food product"",""mass"",""mass manufacture"",""meat washington moment"",""mission"",""new way"",""overwhelming interest news outlet"",""quality fish price"",""scientific cellular agriculture technology"",""seafood"",""stage"",""stage biotechnology company"",""suite"",""sustainable"",""sustainable seafood"",""version fish seafood product"",""way"",""way fresh"",""what"",""world""]"
"FOOD FOR PROGRESS SCANDINAVIA AB"," - ",SE,"2,011",51," - ","https://www.foodforprogress.com/","https://www.linkedin.com/company/food-for-progress/"," - ","https://twitter.com/foodforprogress","30,489,329","Example collection: Alternative protein","[""extruder"",""food"",""food innovation"",""meat alternative"",""plant based food"",""plant protein"",""plant-based meat"",""soy"",""textured protein"",""vegan"",""vegan protein""]"," - ","[""bibim oumph"",""cavinis oumph"",""det"",""det r"",""fiber och"",""food progress"",""frn vxtriket"",""g oumph"",""gjord p"",""gjord p soja"",""ingredienser"",""kcal fett"",""mat som"",""med"",""och"",""oumph"",""personer ingredienser"",""petra cavinis oumph"",""r oumph"",""rock progress"",""share oumph"",""soja"",""som"",""style ingredienser"",""vegansk matldas"",""vi""]"
"FUTURE FIELDS"," - ",CA,"2,017",1,b2b2c,"http://futurefields.io","https://www.linkedin.com/company/future-fields-cellular-agriculture/"," - ","https://twitter.com/MakingMeat","30,523,279","Example collection: Alternative protein","[""ag tech"",""biotechnology"",""cell based meat"",""cell based protein"",""chicken"",""cultured meat"",""in vitro meat"",""poultry"",""sustainable protein"",""tissue engineering""]"," - "," - "
"FUTURE MEAT TECHNOLOGIES"," - ",IL,"2,018",1,b2c,"future-meat.com","https://www.linkedin.com/company/future-meat-technologies","https://www.crunchbase.com/organization/future-meat-technologies","https://twitter.com/foodtechinvest/status/998220574236332032","30,482,526","Example collection: Alternative protein","[""agtech"",""alternative-protein"",""biotechnology"",""bitsxbites"",""clean meat"",""cultured meat"",""food and nutrition"",""foodtech"",""health and wellness"",""in vitro meat"",""manufacturing"",""non-gmo"",""nutrition"",""production technology"",""protein"",""sustainable-protein""]"," - "," - "
"GARDEIN PROTEIN INTERNATIONAL"," - ",CA,"2,003",51,b2c,"https://gardein.com","https://www.linkedin.com/company/garden-protein-international","https://www.crunchbase.com/organization/gardein","https://twitter.com/gardein","30,481,044","Example collection: Alternative protein","[""alternative protein"",""food"",""meatless food"",""non-gmo"",""plant based food"",""plant protein"",""soy"",""vegan protein""]"," - "," - "
"GARDEN GOURMET"," - ",NL,"1,986",11," - ","www.gardengourmet.nl","https://www.linkedin.com/company/garden-gourmet"," - ","https://twitter.com/hashtag/gardengourmet","30,519,994","Example collection: Alternative protein","[""meat alternative"",""plant protein"",""plant-based meat"",""vegan protein""]"," - "," - "
"GOLD&GREEN FOODS"," - ",FI,"2,015",51,b2c,"https://goldandgreenfoods.com/","https://www.linkedin.com/company/gold&green-foods-ltd","https://www.crunchbase.com/organization/gold-green-foods","https://twitter.com/goldngreenfoods?lang=en","30,520,039","Example collection: Alternative protein","[""oat based protein"",""plant protein"",""plant-based dairy"",""plant-based meat"",""production technology"",""vegan protein""]"," - ","[""bean first product"",""cookie"",""easy cook"",""fibrous texture"",""figured way"",""first product gold&green"",""full"",""full goodness"",""full story"",""gold&green"",""good"",""great taste good conscience"",""habanero salsa subscribe newsletter"",""hoof print"",""ltd."",""meal"",""mother nature"",""oats"",""oats bean first"",""oats parsnip"",""perfect protein oat bean"",""protein"",""radish habanero salsa subscribe"",""rocket pea risotto rice"",""smile face"",""spinach stuffed aubergine tacos"",""stuffed aubergine tacos w"",""taste"",""tasty"",""tasty flavour""]"
